"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Reference Designator","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description"
"MC-146 32.7680KA-A0:ROHS","EPSON","SER4091CT-ND","U$14","1","0.40000","$0.40","27007","24 Weeks","CRYSTAL 32.7680 KHZ 12.5PF SMD"
"MC14106BDR2G","ON Semiconductor","MC14106BDR2GOSCT-ND","U7","1","0.50000","$0.50","5966","20 Weeks","IC INVERTER SCHMITT 6CH 14SOIC"
"MPL3115A2","NXP USA Inc.","MPL3115A2-ND","U3","1","5.80000","$5.80","19706","12 Weeks","IC ALTIMETER I2C VERSION 8LGA"
"NHD-0216CW-AW3","Newhaven Display Intl","NHD-0216CW-AW3-ND","U$12","1","26.50000","$26.50","58","18 Weeks","2X16 WHITE SLIM CHARACTER OLED"
"R-783.3-0.5","Recom Power","945-1035-ND","U4, U5","2","6.81000","$13.62","3989","6 Weeks","DC DC CONVERTER 3.3V 2W"
"A-DS 09 A/KG-T2S","Assmann WSW Components","AE10968-ND","J1","1","0.77000","$0.77","26594","20 Weeks","CONN D-SUB PLUG 9POS R/A SOLDER"
"RTQ020N03TR","Rohm Semiconductor","RTQ020N03CT-ND","U$11","1","0.51000","$0.51","4798","Not Available","MOSFET N-CH 30V 2A TSMT6"
"67996-408HLF","Amphenol FCI","609-3391-ND","SV1","1","0.36000","$0.36","8031","8 Weeks","CONN HEADER 8POS .100 STR TIN"
"SBC817-40LT1G","ON Semiconductor","SBC817-40LT1GOSCT-ND","Q2, Q3","2","0.28000","$0.56","76529","33 Weeks","TRANS NPN 45V 0.5A SOT-23"
"ZX62D-B-5PA8(30)","Hirose Electric Co Ltd","H125718CT-ND","X1","1","0.82000","$0.82","1328","12 Weeks","CONN RCPT USB MICRO B 2.0 5P SMD"
